time_step,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
1,0.06428305,0.17919442,0.21061386,0.29173252,0.11803745,0.24215326,0.4951728,0.35177568,0.071504444,0.11175363,0.17125413,0.2058587,0.2215385,0.21643731
2,0.13092355,0.15210582,0.28320566,0.3065123,0.17998503,0.27955803,0.4687144,0.5282916,0.10467086,0.14856465,0.20868467,0.28458685,0.26861596,0.34563008
3,0.13575809,0.12369573,0.29957926,0.3129409,0.24616145,0.2894042,0.41197598,0.47861612,0.13087758,0.15165673,0.24923988,0.21067984,0.3001302,0.28046927
4,0.16307987,0.07454781,0.24368574,0.23116429,0.18920575,0.20874755,0.36106154,0.33998612,0.109244235,0.1298107,0.19797893,0.20969225,0.22246012,0.2537383
5,0.12289009,0.064200096,0.15886098,0.19638166,0.15226232,0.18450552,0.24742486,0.21787806,0.0931276,0.12826572,0.13660805,0.15917626,0.17515996,0.19287898
6,0.09962795,0.048670355,0.1259775,0.12499573,0.097153224,0.17002206,0.17995764,0.1739144,0.06955176,0.11960165,0.093246415,0.11439473,0.13224961,0.1304137
7,0.08492213,0.04231012,0.09677889,0.1198021,0.07826695,0.1530849,0.12402678,0.11432537,0.055740345,0.11944924,0.071564645,0.08504518,0.10628945,0.0954735
8,0.08023932,0.03616134,0.0788667,0.10550023,0.068885446,0.14552806,0.10175056,0.12216005,0.051914245,0.11636279,0.067658134,0.08403197,0.08663407,0.087546684
9,0.08297648,0.04028842,0.0672025,0.10049651,0.061156277,0.14858027,0.110315375,0.08575424,0.059889585,0.12633878,0.059063956,0.090147585,0.08160811,0.08079998
10,0.07876448,0.046036553,0.064089805,0.10372086,0.06144812,0.15379556,0.09782469,0.10049681,0.054824207,0.12665877,0.057827797,0.08103749,0.094722934,0.076273814
11,0.08288749,0.052455246,0.062294554,0.09646734,0.067410596,0.1569804,0.09680236,0.095285915,0.056646526,0.14592288,0.06443119,0.07383639,0.081900485,0.072963856
12,0.0836728,0.05009388,0.074031174,0.092612326,0.05888622,0.16737194,0.09601949,0.10838588,0.053279825,0.13124245,0.06365867,0.07117762,0.08363522,0.075609766
13,0.08296685,0.05297778,0.06659419,0.09980842,0.06898797,0.1679128,0.10877323,0.098078534,0.066168845,0.14677373,0.062274415,0.076421656,0.09729771,0.0785377
14,0.08315817,0.05477836,0.069069855,0.09855702,0.06600665,0.17670755,0.111904226,0.108194545,0.07528706,0.15740423,0.07890072,0.07749953,0.08797872,0.07111324
15,0.10056562,0.05867728,0.07628383,0.11870526,0.069982395,0.18323338,0.10891228,0.11185431,0.07107948,0.15816067,0.07887162,0.07845204,0.07955046,0.08104363
16,0.09561906,0.05785333,0.071707234,0.106722206,0.06796849,0.19516736,0.10763223,0.11543105,0.06569773,0.16115762,0.06368031,0.08591653,0.09357705,0.087170355
17,0.09822304,0.06313176,0.07587681,0.11180532,0.08121656,0.19224325,0.10511184,0.12122206,0.079683825,0.16977149,0.07516344,0.09535781,0.08415218,0.09290816
18,0.09798529,0.06574559,0.074108705,0.12184925,0.0720143,0.19428585,0.13743106,0.10729639,0.06978642,0.17001568,0.077804744,0.085941784,0.093376234,0.086893626
19,0.0846764,0.076975636,0.08369402,0.12690872,0.07417614,0.20991428,0.121264294,0.13364848,0.07764853,0.18143398,0.06699956,0.08738052,0.09852632,0.088831075
20,0.09177334,0.073333345,0.079264216,0.12877804,0.0745302,0.18925758,0.13189247,0.11877183,0.07619179,0.18291017,0.08114732,0.11875941,0.11001547,0.087591544
21,0.09742593,0.070339315,0.08100222,0.12282761,0.0719789,0.20994349,0.11823657,0.12117174,0.07376019,0.17635044,0.07529948,0.10046175,0.096526355,0.08509249
22,0.10480646,0.07067468,0.07494634,0.10630316,0.07295407,0.20642886,0.12555583,0.13540441,0.07701869,0.18122792,0.06858117,0.09194399,0.110308915,0.0812675
23,0.090540096,0.07222099,0.07647539,0.11819098,0.0643138,0.21038862,0.10988102,0.12106273,0.07393872,0.17952181,0.07131872,0.10970638,0.09303014,0.09442667
24,0.08684776,0.066114,0.07096705,0.10583401,0.0699397,0.20395428,0.10540161,0.13964835,0.07039006,0.17890744,0.071245894,0.09914406,0.08789548,0.088481106
25,0.07279317,0.08408999,0.0721821,0.10549014,0.06487093,0.21288049,0.09627274,0.13212217,0.07883827,0.1681499,0.06765319,0.08376926,0.08651158,0.08339529
26,0.08094775,0.07934456,0.06779797,0.106516756,0.06473746,0.20160681,0.09605088,0.11815235,0.06281011,0.16298734,0.06236192,0.09437082,0.093117714,0.08112974
27,0.060045987,0.071797155,0.052184798,0.09578269,0.061966192,0.19388483,0.08016674,0.13264428,0.055438638,0.15829399,0.05877203,0.10287478,0.077755675,0.08407816
28,0.060114082,0.08162248,0.05598178,0.09080281,0.06456982,0.1795664,0.082564816,0.1222923,0.05651996,0.15343681,0.055523533,0.09170202,0.07165969,0.08009033
29,0.047866005,0.0767232,0.053982258,0.09403547,0.059428506,0.16198732,0.07892467,0.11859043,0.048234597,0.13550049,0.043819677,0.085594945,0.07224262,0.09367174
30,0.046692226,0.06870299,0.03932923,0.072273426,0.048289683,0.14479911,0.07145955,0.10620186,0.054675404,0.112039044,0.033260606,0.07298204,0.05817386,0.07578723
31,0.04471925,0.05718366,0.02730679,0.060607478,0.039026182,0.12887299,0.056816153,0.09890151,0.047603562,0.087552115,0.026669107,0.07215099,0.045073487,0.07493457
32,0.035417225,0.057258744,0.03189171,0.04565449,0.04237139,0.094684355,0.057989515,0.098922655,0.047581002,0.06809241,0.027826753,0.06081445,0.036293224,0.05960286
33,0.038515862,0.060305174,0.032672975,0.032370463,0.034023568,0.07482587,0.05295696,0.07580344,0.042102344,0.057882294,0.026601907,0.047108937,0.03373079,0.050426356
34,0.046012275,0.05491954,0.035801265,0.026418712,0.032761626,0.061123535,0.06266053,0.06359793,0.052385967,0.054875527,0.029089913,0.04321729,0.03163849,0.038725544
